# BEAST v1.8.0, r5971
# Generated Mon Feb 24 17:20:11 PST 2014 [seed=1]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
37000	-6469.652548673253	-1686.3295373035533	-4783.323011369699	215.70383675554032	1782.4299515987525	7.330249467049285E-5	-4783.323011369699	-1678.843731147383
38000	-6415.102925259613	-1638.1534771557008	-4776.949448103912	184.17676710096467	1558.1848854442524	8.826157177543669E-5	-4776.949448103912	-1630.8021120062895
39000	-6411.84890129865	-1639.561496529182	-4772.287404769468	188.4348986479085	1377.1683269904968	9.084965572939331E-5	-4772.287404769468	-1632.3336209464453
40000	-6378.773397854396	-1628.6364855403774	-4750.136912314018	198.32303598961894	1377.0025206298055	9.542616984886253E-5	-4750.136912314018	-1621.4087257849578
41000	-6323.193109965573	-1595.020187524104	-4728.172922441469	147.90807889151716	1164.7911438481897	1.0698939885549829E-4	-4728.172922441469	-1587.9597834604438
42000	-6292.887418721283	-1580.1367039878908	-4712.750714733393	140.20911362316377	969.0671981970178	1.0754351799693127E-4	-4712.750714733393	-1573.2602624869019
43000	-6270.213341432995	-1576.6769271007263	-4693.536414332269	128.56581888036615	1025.1903014027362	1.2169732259197966E-4	-4693.536414332269	-1569.7441718691587
44000	-6252.666382015297	-1571.9229994317761	-4680.7433825835205	136.1715574175552	1055.976887925152	1.2313793141543127E-4	-4680.7433825835205	-1564.9606547162525
45000	-6229.656922635054	-1545.08154251259	-4684.575380122464	115.08458167981803	848.4518486040921	1.302560535655054E-4	-4684.575380122464	-1538.3379989223185
46000	-6193.0581857277775	-1539.2510724808667	-4653.80711324691	115.8453908404248	864.5308075835953	1.4261156293075516E-4	-4653.80711324691	-1532.4887429285127
47000	-6148.374677677644	-1535.9220336163257	-4612.452644061318	132.4284341080292	754.337084796406	1.3190955304589745E-4	-4612.452644061318	-1529.296062376603
48000	-6141.889806645919	-1559.691892056252	-4582.197914589667	140.6897246982088	1088.6923241908858	1.3346782173991517E-4	-4582.197914589667	-1552.6990260360035
49000	-6067.044689004363	-1558.5420272969643	-4508.502661707399	145.14969492495027	944.9406564931711	1.3021331661949127E-4	-4508.502661707399	-1551.6907749554875
50000	-6087.789632820743	-1577.8964033953996	-4509.893229425343	167.7064516885055	1205.052672888766	1.1099239645160966E-4	-4509.893229425343	-1570.802013846093
51000	-6056.774926220536	-1545.412087670202	-4511.362838550334	144.32052226013792	914.5041006061583	1.2553768044765775E-4	-4511.362838550334	-1538.5935801807136
52000	-6038.3615777103605	-1535.6830626246622	-4502.678515085699	121.12254852142411	889.019197697416	1.1977245136511791E-4	-4502.678515085699	-1528.8928240222199
53000	-6046.372093583756	-1549.2938456123795	-4497.078247971377	152.23828595232354	1006.9687657966107	1.1778199909219666E-4	-4497.078247971377	-1542.3790279552268
54000	-6035.598218236697	-1555.984719062299	-4479.613499174398	132.64986282301945	1014.717802776019	1.251410141881079E-4	-4479.613499174398	-1549.0622280952873
55000	-6030.312355346765	-1541.4356412952434	-4488.876714051521	136.33102731230932	843.6012519266567	1.4696619612936484E-4	-4488.876714051521	-1534.697814396415
56000	-6002.3222004624995	-1561.635450869956	-4440.6867495925435	127.58135977035558	1010.3152149703826	1.2003309316976615E-4	-4440.6867495925435	-1554.7173131816887
57000	-5972.468875103938	-1540.577183506605	-4431.891691597333	141.23128557986263	927.1465053479471	1.1969899402084001E-4	-4431.891691597333	-1533.744952212086
58000	-5951.975465815203	-1530.5055331508042	-4421.469932664399	121.73697901812524	809.0888534080245	1.2944163376417278E-4	-4421.469932664399	-1523.8094949669835
59000	-5953.601612409355	-1530.8197656966158	-4422.781846712739	114.74084851880417	811.4253879806381	1.332987150846285E-4	-4422.781846712739	-1524.1208399585119
60000	-5953.4060088632705	-1529.817215058122	-4423.588793805148	112.32797418021951	993.9277679836034	1.2787895494589948E-4	-4423.588793805148	-1522.9154226431754
61000	-5922.930916246384	-1514.777524067322	-4408.153392179062	134.98299345066366	813.2635580601267	1.356882135341815E-4	-4408.153392179062	-1508.0763331424398
62000	-5913.1039995135925	-1526.122529217456	-4386.981470296137	117.59049839693355	869.7863716430978	1.42667948335255E-4	-4386.981470296137	-1519.354138917847
63000	-5891.021571454326	-1499.836632302872	-4391.184939151453	100.11911331877599	751.491850269018	1.4041942118400914E-4	-4391.184939151453	-1493.2144315189353
64000	-5861.930813667628	-1493.4730993667831	-4368.4577143008455	97.63377676326094	665.109332272198	1.4849068140582443E-4	-4368.4577143008455	-1486.9729994395277
65000	-5848.340333618088	-1473.5689387749078	-4374.77139484318	102.75283067398011	613.0591052874184	1.4481436976944895E-4	-4374.77139484318	-1467.1503326095315
66000	-5846.81449092018	-1495.0439716546935	-4351.770519265487	115.97940725698005	680.226441015451	1.4607314890298874E-4	-4351.770519265487	-1488.5213998373138
67000	-5849.482710635406	-1487.499254862848	-4361.983455772558	113.41236349344635	706.7405449062828	1.542669571412234E-4	-4361.983455772558	-1480.9384369776785
68000	-5842.582790326186	-1467.140492319638	-4375.442298006548	87.66336236343665	610.1603418130161	1.8240194953279793E-4	-4375.442298006548	-1460.7265881396304
69000	-5838.567001788146	-1479.2671753108139	-4359.299826477332	92.85745319699144	600.9459307273498	1.675356926993176E-4	-4359.299826477332	-1472.868502810145
70000	-5829.3207729867045	-1474.631854885694	-4354.68891810101	88.80254989577172	634.9174589167253	1.7594064999622703E-4	-4354.68891810101	-1468.1781839405583
71000	-5826.086070881656	-1467.082202497351	-4359.003868384305	88.49703185714726	538.2513194443918	1.5514848135720922E-4	-4359.003868384305	-1460.7937217612684
72000	-5810.959890265031	-1465.106094515779	-4345.853795749253	80.05746537116579	626.8976071099898	1.8919654678740462E-4	-4345.853795749253	-1458.6651220979797
73000	-5806.366956881446	-1468.5169320389252	-4337.850024842521	95.8596434655993	590.3270694703363	1.728637506657398E-4	-4337.850024842521	-1462.1360824368383
74000	-5816.580179957989	-1474.0662138192556	-4342.513966138733	89.21333078358222	668.7245187510489	1.6972534794309257E-4	-4342.513966138733	-1467.5606718992256
75000	-5824.589714457779	-1472.4462240692949	-4352.143490388485	104.84712480087207	591.6013534072133	1.8031939222713133E-4	-4352.143490388485	-1466.063210731362
76000	-5797.12990496764	-1476.9155351054346	-4320.214369862206	86.44944587808442	673.3439956448111	1.5212253058229815E-4	-4320.214369862206	-1470.4031266461861
77000	-5833.527049337669	-1499.0947065921266	-4334.432342745543	94.66362213777104	689.262123724689	1.4717673651364912E-4	-4334.432342745543	-1492.558937775906
78000	-5831.97483765818	-1520.8103493243261	-4311.164488333854	104.46971286795832	751.2732052142795	1.3709914581887505E-4	-4311.164488333854	-1514.1884428510036
79000	-5826.904068404985	-1509.4251605256636	-4317.478907879321	85.65781652740097	757.1001625471241	1.4494177829944425E-4	-4317.478907879321	-1502.795520024079
80000	-5817.670844284747	-1499.6889891513583	-4317.981855133388	94.2718254091281	671.8045906013633	1.603027639848687E-4	-4317.981855133388	-1493.1788613381539
81000	-5800.200936890448	-1492.0254325796723	-4308.175504310776	92.27177098004093	687.986389519623	1.6710164578571338E-4	-4308.175504310776	-1485.4914964229638
82000	-5807.949108928867	-1483.0077602428694	-4324.941348685998	97.4755111808569	680.517508696276	1.4570097148553242E-4	-4324.941348685998	-1476.4847609909732
83000	-5802.052281059328	-1486.8630570091616	-4315.189224050167	95.7686949097115	662.5209595583763	1.4403474102793272E-4	-4315.189224050167	-1480.3668607799914
84000	-5793.680249949255	-1464.6718627546425	-4329.008387194613	107.1787450135088	531.1392054695434	1.6326631942214782E-4	-4329.008387194613	-1458.396675344245
85000	-5780.931901364419	-1446.23632901127	-4334.695572353149	109.3049534670842	563.1549654105125	1.7738353623246341E-4	-4334.695572353149	-1439.9025967880714
86000	-5793.398531594236	-1452.7971187852063	-4340.60141280903	102.53565944743143	530.2991416234121	1.7483091071224862E-4	-4340.60141280903	-1446.523502688816
87000	-5763.329512009535	-1454.0126671773057	-4309.316844832229	99.09718254604502	588.4617768685756	1.8652263897597988E-4	-4309.316844832229	-1447.6349686801716
88000	-5768.513544561685	-1449.3585695033144	-4319.154975058371	111.5549324772351	503.7856558163144	1.7897621958125814E-4	-4319.154975058371	-1443.1362396355619
89000	-5745.133901304361	-1444.6282624865232	-4300.505638817837	84.92429685393029	537.9538587613356	1.8826104636923406E-4	-4300.505638817837	-1438.3403014333771
90000	-5756.054998885647	-1448.7574411068751	-4307.297557778772	85.6396932894293	631.5637580658389	1.9036857767511876E-4	-4307.297557778772	-1442.309051838712
91000	-5759.1318512770995	-1439.4645502643311	-4319.667301012768	82.45686707019725	614.6582956367399	1.8998387789473156E-4	-4319.667301012768	-1433.0432937839098
92000	-5750.679787460381	-1430.0418976224462	-4320.637889837934	89.97622479111685	473.526129515668	1.9254057886486874E-4	-4320.637889837934	-1423.8814979869926
93000	-5762.878158526699	-1445.4002921346423	-4317.477866392057	87.24068240365341	583.4082821551157	1.67525579508987E-4	-4317.477866392057	-1439.0312373553722
94000	-5747.4127681061045	-1412.490341699501	-4334.922426406603	84.67707825950356	487.63816728156974	2.023102048661458E-4	-4334.922426406603	-1406.3005657189492
95000	-5735.406101203463	-1389.8043042128863	-4345.601796990576	80.38898930707627	422.3122509526462	1.9273854880688242E-4	-4345.601796990576	-1383.7583665027482
96000	-5712.313078069434	-1383.008534781786	-4329.304543287648	72.07731912390827	388.932133649221	2.1990231651558364E-4	-4329.304543287648	-1377.0449100146982
97000	-5691.922040966787	-1385.9370897038602	-4305.984951262926	78.91321946087339	411.45731831255125	2.31997740792614E-4	-4305.984951262926	-1379.917152413587
98000	-5699.265026838862	-1389.9949094941405	-4309.270117344721	74.20097307942406	428.8353813445778	2.3647602701678286E-4	-4309.270117344721	-1383.933599899297
99000	-5715.850953436524	-1416.548631344703	-4299.302322091821	78.81011123057557	504.0701976744374	2.222319375710723E-4	-4299.302322091821	-1410.3256935732927
100000	-5717.022947787213	-1417.8576638057455	-4299.165283981467	95.87050863970559	485.4534052012647	2.1763468763767103E-4	-4299.165283981467	-1411.672362860741
101000	-5704.464536802504	-1412.4133325339662	-4292.051204268538	85.54778205888016	447.722534226838	2.125974697505327E-4	-4292.051204268538	-1406.3089462391974
102000	-5694.226087401495	-1399.041069237315	-4295.185018164179	91.91343062870705	461.7121398540192	2.2473451102820275E-4	-4295.185018164179	-1392.9059028798224
103000	-5696.045431076352	-1403.1185114941936	-4292.926919582158	98.1154213150534	432.0566630211503	2.0826369986494533E-4	-4292.926919582158	-1397.0497464864502
104000	-5708.610655860758	-1425.637381095223	-4282.973274765535	84.13423846224879	529.0440850020884	2.0443716785861397E-4	-4282.973274765535	-1419.3661048931813
105000	-5713.1919934375255	-1424.8779854105273	-4288.314008026998	111.81338710657064	530.8739717475277	2.095335118220383E-4	-4288.314008026998	-1418.6032512252852
106000	-5715.716889687405	-1415.444654193992	-4300.272235493412	83.16358846269362	475.7309227468368	2.0782187334296643E-4	-4300.272235493412	-1409.2795939660698
107000	-5705.94728774851	-1402.5948555761547	-4303.352432172355	75.19123017309772	492.8200795212327	2.3373550166234423E-4	-4303.352432172355	-1396.3944776834821
108000	-5702.869425456288	-1412.8701369846613	-4289.999288471627	69.46043934581243	442.7736608829897	2.3087997504985574E-4	-4289.999288471627	-1406.7768473887218
109000	-5700.145628386979	-1412.6784540047865	-4287.467174382193	66.14651588406566	456.90287502283553	2.2786345774624222E-4	-4287.467174382193	-1406.5537553003242
110000	-5698.378383687967	-1424.10334652804	-4274.275037159927	93.94208841613391	497.4608030205849	1.9644113792079577E-4	-4274.275037159927	-1417.8936333213057
111000	-5702.0779464819625	-1414.7625434368056	-4287.315403045157	70.2977566676505	470.3927261738589	1.9040103139802378E-4	-4287.315403045157	-1408.6087851023751
112000	-5709.688587143983	-1429.6254016993323	-4280.06318544465	90.73328762623645	498.5458238327793	2.124175784715667E-4	-4280.06318544465	-1423.4134937731408
113000	-5709.088933855527	-1432.390208988897	-4276.69872486663	71.55893613736546	505.9040087536071	2.0357864446545826E-4	-4276.69872486663	-1426.163658464982
114000	-5705.91158562468	-1424.2910404201248	-4281.620545204555	73.3875022708983	457.19317749753554	2.133974377628663E-4	-4281.620545204555	-1418.1657210132366
115000	-5706.843051126862	-1417.8806931543916	-4288.96235797247	74.91395695253136	433.5194370648662	2.12289826411902E-4	-4288.96235797247	-1411.80854423183
116000	-5734.672855688327	-1443.122950934359	-4291.549904753968	85.87657390055666	539.1023779095184	1.8373606624965335E-4	-4291.549904753968	-1436.8328617049574
117000	-5719.168566028698	-1437.1415590861031	-4282.027006942594	80.1536497907838	553.9154366859025	1.9976620632430309E-4	-4282.027006942594	-1430.8243472861616
118000	-5711.328359659644	-1441.3861390428967	-4269.942220616747	75.52892127610491	589.2157646275379	1.9460042110948044E-4	-4269.942220616747	-1435.0071520022582
119000	-5705.972715410405	-1429.7403958215398	-4276.232319588865	72.71772585387492	531.3245015339556	2.117364253046917E-4	-4276.232319588865	-1423.4648111365268
120000	-5725.044739986013	-1424.786434411224	-4300.258305574789	80.88400613438863	489.1196856722602	2.1408063327477334E-4	-4300.258305574789	-1418.5936131150877
121000	-5691.686091334651	-1413.6831154501779	-4278.002975884473	74.41337115168871	482.30823521455625	1.928017305422061E-4	-4278.002975884473	-1407.5043392466382
122000	-5694.175860342796	-1419.113080194271	-4275.062780148525	64.52103160430164	521.1828925397487	1.9858495519167453E-4	-4275.062780148525	-1412.8567805878201
123000	-5667.958934908534	-1404.6311001577367	-4263.327834750797	61.99071283059794	423.37321588054584	2.1303708379942564E-4	-4263.327834750797	-1398.5826330235645
124000	-5670.753416220034	-1408.6157448690599	-4262.1376713509735	72.20852520683897	458.5261951296989	2.264305260522105E-4	-4262.1376713509735	-1402.4875010162343
125000	-5662.298703418327	-1402.4998023426351	-4259.798901075692	62.15856580257778	509.04282316541213	2.3374153709580895E-4	-4259.798901075692	-1396.2670364561309
126000	-5660.733137476327	-1391.4658673631156	-4269.267270113211	61.18016880524219	397.70860070570586	2.597588900797445E-4	-4269.267270113211	-1385.4798880261314
127000	-5671.281460213796	-1392.380247962501	-4278.901212251295	55.15666352658146	435.66770625891576	2.517583345161452E-4	-4278.901212251295	-1386.303116393003
128000	-5662.488812995405	-1395.702758763422	-4266.786054231983	56.33824856565603	442.49036484371675	2.2509938524614237E-4	-4266.786054231983	-1389.6101149741903
129000	-5643.445002527981	-1384.7883137217939	-4258.656688806187	60.36790347897152	396.2145910831533	2.4467476832677656E-4	-4258.656688806187	-1378.8061130858694
130000	-5634.792272101187	-1358.3549479346134	-4276.4373241665735	67.39094346992592	359.5439596958372	2.566881064895031E-4	-4276.4373241665735	-1352.4698547967216
131000	-5635.946626883157	-1369.816954653054	-4266.129672230102	62.89110040254642	308.22354230346707	2.6359040106187264E-4	-4266.129672230102	-1364.0858657562355
132000	-5635.103821939513	-1369.4867948219073	-4265.617027117606	60.26003067222274	367.2826408333967	2.4550509872691524E-4	-4265.617027117606	-1363.5804176266479
133000	-5632.8871689272455	-1384.0994556414005	-4248.787713285845	64.32263503823002	349.4686775907831	2.2897940778857188E-4	-4248.787713285845	-1378.2428127249623
134000	-5630.767395967859	-1379.8830359752762	-4250.884359992582	64.26544363127383	345.1072993720644	2.505210073414286E-4	-4250.884359992582	-1374.0389300729194
135000	-5639.986022908242	-1378.453517807868	-4261.532505100375	75.10799895807	420.04678428302225	2.4668721292336627E-4	-4261.532505100375	-1372.412905024431
136000	-5636.639696020189	-1373.6683281585322	-4262.971367861657	73.78191849462473	329.8509374154399	2.5043972188509985E-4	-4262.971367861657	-1367.8694368712008
137000	-5629.500659353241	-1373.7033855803604	-4255.7972737728805	71.87502302462744	404.375164600411	2.3914299559672463E-4	-4255.7972737728805	-1367.700803365061
138000	-5631.468227370555	-1362.348316199108	-4269.119911171447	72.32332789013266	398.91664432400387	2.3705039619508088E-4	-4269.119911171447	-1356.3593266651158
139000	-5641.975607931129	-1374.2386924417797	-4267.7369154893495	80.27782879400549	350.29564539359455	2.3105728439478318E-4	-4267.7369154893495	-1368.3796838854464
140000	-5655.020369706848	-1382.5623932021322	-4272.457976504716	83.27565463175002	348.5057077053582	2.3502796289417386E-4	-4272.457976504716	-1376.7085035661821
141000	-5654.155835670725	-1394.2628706523196	-4259.892965018405	72.21835432333434	484.29350110451605	2.1606447940306032E-4	-4259.892965018405	-1388.0799634576733
142000	-5635.813407104151	-1377.2455591793273	-4258.5678479248245	67.75783948583091	391.72009775807135	2.3641155849193275E-4	-4258.5678479248245	-1371.2747752193552
143000	-5637.299521044628	-1368.2677120315684	-4269.0318090130595	85.54678133808297	363.1027404235235	2.4139968126077804E-4	-4269.0318090130595	-1362.3727848061983
144000	-5629.765683142581	-1364.288637580294	-4265.477045562287	71.01472021261654	352.53301504723356	2.560669788688918E-4	-4265.477045562287	-1358.4232372357403
145000	-5632.545293513254	-1373.289311923479	-4259.255981589775	70.68322376335459	375.05417532785685	2.461548976794084E-4	-4259.255981589775	-1367.3619952855045
146000	-5628.027642267049	-1375.8093147402883	-4252.218327526761	65.00589473209226	397.25522278011823	2.639225089682608E-4	-4252.218327526761	-1369.8244718651106
147000	-5621.331460262152	-1371.109390180514	-4250.222070081638	63.173073155297395	404.6165247982472	2.6790655842336055E-4	-4250.222070081638	-1365.106182507747
148000	-5621.038641314909	-1370.3286177517984	-4250.710023563111	76.47745407529173	396.7252029062344	2.4864681863189056E-4	-4250.710023563111	-1364.345125248078
149000	-5604.474118660319	-1357.9169984184261	-4246.557120241892	79.48965318569688	383.56692407337704	2.544815078052327E-4	-4246.557120241892	-1351.9672298226699
150000	-5592.519864004141	-1343.920520591555	-4248.599343412586	57.01729762784867	327.1165689116486	2.606471171535632E-4	-4248.599343412586	-1338.1299433572124
151000	-5591.733269815356	-1344.263090178484	-4247.470179636872	56.40845039147995	327.6525381461017	2.643982126424736E-4	-4247.470179636872	-1338.4708720682993
152000	-5564.933626673184	-1336.2814929763101	-4228.652133696874	49.589829513834175	290.2339597229158	2.972903896938373E-4	-4228.652133696874	-1330.6105083305288
153000	-5553.110835879759	-1339.260393811103	-4213.850442068656	51.53471528798846	314.2951661465523	2.997152261879702E-4	-4213.850442068656	-1333.5097615319353
154000	-5571.41419250267	-1348.7084372054476	-4222.705755297222	49.06110773588325	349.63855295350766	2.9660323042515773E-4	-4222.705755297222	-1342.851240687189
155000	-5564.5517416005605	-1337.1156710236992	-4227.436070576861	51.0097732541226	301.8785116077017	2.760115618354884E-4	-4227.436070576861	-1331.4053703551433
156000	-5573.128475794665	-1340.060844152306	-4233.067631642359	60.03357947290661	324.8574683782206	3.0010212074727265E-4	-4233.067631642359	-1334.2771575228867
157000	-5602.06253593261	-1358.3312472578182	-4243.731288674792	59.61247957057096	430.2872031142129	2.811566083006938E-4	-4243.731288674792	-1352.2665132012587
158000	-5589.941136499315	-1353.4867203045478	-4236.454416194767	61.61796158903148	363.81850812057075	2.903979541342362E-4	-4236.454416194767	-1347.5897747673657
159000	-5585.150451816055	-1346.5720516955193	-4238.578400120536	63.05246330519797	334.4429268976493	2.8135121505741247E-4	-4238.578400120536	-1340.7593041014231
160000	-5578.1377994336035	-1343.8857002471154	-4234.252099186488	59.47120717933826	320.3144694226175	2.5095127270667085E-4	-4234.252099186488	-1338.1161460656535
161000	-5567.927375303332	-1335.8458438864914	-4232.081531416841	54.9927334772007	319.9397587625447	2.948812238267328E-4	-4232.081531416841	-1330.0774162810628
162000	-5568.571229141442	-1321.5255622244526	-4247.045666916989	65.48585832829606	298.70204609691484	2.3716299147464955E-4	-4247.045666916989	-1315.8258784862562
163000	-5555.501876324264	-1304.3023946466515	-4251.199481677612	57.09158861344473	231.00470827722626	2.911161928628433E-4	-4251.199481677612	-1298.8596654379921
164000	-5542.412474741416	-1305.4278161104255	-4236.98465863099	64.31249450960506	264.2371163012453	2.6078739785977405E-4	-4236.98465863099	-1299.850708455185
165000	-5529.936720537964	-1306.9315106066083	-4223.005209931355	55.532030316668575	286.1930845559114	3.042721729887149E-4	-4223.005209931355	-1301.2745396305822
166000	-5554.508942987089	-1322.7513113427685	-4231.75763164432	75.7031102754596	278.25608172948864	2.669016871507216E-4	-4231.75763164432	-1317.1225025940955
167000	-5542.744463079228	-1308.496910510963	-4234.247552568265	63.096420989801906	270.54137136705623	3.0747253154929377E-4	-4234.247552568265	-1302.896178007784
168000	-5554.006313940189	-1309.9098033285172	-4244.096510611672	62.838467513725185	309.7468650491276	2.989658626612986E-4	-4244.096510611672	-1304.1737489631032
169000	-5533.1517661162125	-1291.6199752026266	-4241.531790913586	52.00171580800325	263.99065398235433	3.4888191886613937E-4	-4241.531790913586	-1286.04371261977
170000	-5538.805812376659	-1294.5474074431297	-4244.258404933529	52.79293451937925	249.16320142684896	2.756407884786782E-4	-4244.258404933529	-1289.0290236931583
171000	-5531.545722540899	-1296.7665560924468	-4234.779166448452	53.6344944950739	258.39765867923916	3.229591178275648E-4	-4234.779166448452	-1291.2117334223003
172000	-5539.803118271979	-1304.7166303076451	-4235.086487964334	46.13844558773822	245.61512954026668	3.2748936527964066E-4	-4235.086487964334	-1299.2125370215415
173000	-5535.707434408938	-1297.3099508160226	-4238.397483592916	44.98281582058634	249.3821194830265	3.327766009765301E-4	-4238.397483592916	-1291.7906317028796
174000	-5525.593371015925	-1290.2557367991158	-4235.337634216809	43.719539075586866	258.0382225527932	3.143009879448928E-4	-4235.337634216809	-1284.7023147747498
175000	-5511.959304370404	-1289.8706008679344	-4222.08870350247	44.78158427506515	265.9942388569905	3.582464242759051E-4	-4222.08870350247	-1284.2867679713954
176000	-5523.343609992706	-1280.2954525451619	-4243.048157447543	50.537508000153565	234.78862057411416	3.3521414700965615E-4	-4243.048157447543	-1274.8364317085704
177000	-5521.989038421174	-1290.4975199504424	-4231.4915184707315	43.038451530066816	251.93324311253033	3.827751306841044E-4	-4231.4915184707315	-1284.9679730311784
